TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
498;5192019;142;253
498;5192018;2101;253
499;5192019;131;253
499;5192018;437;253
500;5192018;2242;253
500;5192019;3132;253
501;5192019;437;253
501;5192018;2242;253
502;5192019;452;253
502;5192018;2472;253
503;5192019;437;253
503;5192018;421;253
504;5192019;2473;253
504;5192018;2242;253
505;5192019;2121;253
505;5192018;1571;253
506;5192019;2473;253
506;5192018;2121;253
507;5192019;3411;253
507;5192018;2242;253
508;5192019;421;253
508;5192018;2242;253
509;5192019;3411;253
509;5192018;1571;253
510;5192019;437;253
510;5192018;437;253
511;5192018;2242;253
512;5192019;437;253
512;5192018;1571;253
513;5192019;318;253
513;5192018;2242;253
514;5192019;437;253
514;5192018;2102;253
515;5192019;2841;253
516;5192019;131;253
516;5192018;421;253
517;5192019;2301;253
517;5192018;2841;253
518;5192019;437;253
518;5192018;437;253
519;5192019;131;253
519;5192018;355;253
520;5192019;2211;253
520;5192018;282;253
521;5192019;452;253
521;5192018;2102;253
522;5192019;333;253
522;5192018;2212;253
523;5192019;355;253
523;5192018;2212;253
524;5192019;2121;253
524;5192018;2101;253
525;5192019;452;253
525;5192018;321;253
526;5192019;2274;253
526;5192018;2472;253
527;5192019;2301;253
527;5192018;2242;253
528;5192019;2274;253
528;5192018;3441;253
529;5192019;2274;253
529;5192018;3422;253
530;5192018;140;253
531;5192019;131;253
531;5192018;1571;253
532;5192019;2211;253
532;5192018;2102;253
533;5192018;437;253
533;5192019;3411;253
534;5192019;3122;253
534;5192018;140;253
535;5192019;142;253
535;5192018;140;253
536;5192019;2101;253
536;5192018;140;253
537;5192019;2301;253
537;5192018;2242;253
538;5192019;131;253
538;5192018;3141;253
539;5192019;2274;253
539;5192018;421;253
540;5192019;437;253
540;5192018;282;253
541;5192019;305;253
541;5192018;2212;253
542;5192019;371;253
542;5192018;371;253
543;5192019;2211;253
543;5192018;140;253
544;5192019;371;253
544;5192018;3422;253
545;5192019;452;253
545;5192018;3141;253
546;5192018;3351;253
547;5192019;2211;253
547;5192018;1472;253
548;5192019;3411;253
548;5192018;2212;253
549;5192019;2121;253
549;5192018;140;253
550;5192019;3411;253
550;5192018;311;253
551;5192018;2141;253
552;5192019;357;253
552;5192018;3441;253
553;5192018;2401;253
553;5192019;305;253
554;5192018;2212;253
554;5192019;2274;253
555;5192018;441;253
556;5192019;427;253
556;5192018;437;253
557;5192019;2301;253
557;5192018;2121;253
558;5192019;3721;253
558;5192018;3422;253
559;5192019;437;253
559;5192018;373;253
560;5192019;3721;253
560;5192018;2121;253
561;5192019;2274;253
561;5192018;373;253
562;5192018;2472;253
563;5192019;437;253
563;5192018;437;253
564;5192019;437;253
564;5192018;2121;253
565;5192018;441;253
566;5192019;2301;253
566;5192018;437;253
567;5192018;2102;253
568;5192019;2212;253
568;5192018;140;253
569;5192019;142;253
569;5192018;2473;253
570;5192019;2301;253
570;5192018;3722;253
571;5192019;3781;253
571;5192018;347;253
572;5192019;3411;253
572;5192018;431;253
573;5192019;271;253
573;5192018;3722;253
574;5192019;3141;253
574;5192018;437;253
575;5192019;2212;253
575;5192018;1571;253
576;5192019;2524;253
576;5192018;373;253
577;5192019;3411;253
577;5192018;311;253
578;5192019;2241;253
578;5192018;311;253
579;5192019;2121;253
579;5192018;3372;253
