CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
38714;12-nov-18;5032082;248
38827;15-nov-18;5092012;249
38828;16-nov-18;5092012;249
38829;17-nov-18;5092042;249
38830;18-nov-18;5092043;249
38831;19-nov-18;5092012;249
38832;20-nov-18;5092012;249
38833;21-nov-18;5092012;249
38834;22-nov-18;5092012;249
38835;23-nov-18;5092012;249
38836;24-nov-18;5092042;249
38837;25-nov-18;5092043;249
38886;27-nov-18;5132012;250
38887;28-nov-18;5132012;250
38888;29-nov-18;5132012;250
38889;30-nov-18;5132012;250
38645;22-sep-18;5032016;247
38890;01-DEC-18;5132042;250
37765;12-jun-18;4912041;242
37766;13-jun-18;4912041;242
38165;23-jul-18;4932122;244
38166;24-jul-18;4932122;244
38891;02-DEC-18;5132043;250
38892;03-DEC-18;5132012;250
38893;04-DEC-18;5132012;250
38894;05-DEC-18;5132012;250
38895;06-DEC-18;5132012;250
38896;07-DEC-18;5132012;250
38897;08-DEC-18;5132020;250
38898;09-DEC-18;5132043;250
38927;12-DEC-18;5112018;251
38928;13-DEC-18;5112018;251
38929;14-DEC-18;5112018;251
38930;15-DEC-18;5112019;251
38931;16-DEC-18;5112020;251
38932;17-DEC-18;5112024;251
38933;18-DEC-18;5112024;251
