CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
29027;25-JAN-17;4412041;184
29028;26-JAN-17;4412041;184
29029;27-JAN-17;4412041;184
29030;28-JAN-17;4412027;184
29031;29-JAN-17;4412043;184
29032;30-JAN-17;4412041;184
29033;31-JAN-17;4412041;184
29034;1-feb-17;4412041;184
29035;2-feb-17;4412041;184
29036;3-feb-17;4412041;184
29037;4-feb-17;4412027;184
31585;17-APR-17;4513018;192
31587;19-APR-17;4513018;192
31586;18-APR-17;4513018;192
31588;20-APR-17;4513018;192
31589;21-APR-17;4513018;192
31590;22-APR-17;4513019;192
31591;23-APR-17;4513020;192
31592;24-APR-17;4513018;192
31593;25-APR-17;4513018;192
31594;26-APR-17;4513018;192
31595;27-APR-17;4513018;192
31596;28-APR-17;4513018;192
31597;29-APR-17;4513019;192
31598;30-APR-17;4513020;192
31599;1-may-17;4513020;192
31600;2-may-17;4513018;192
31601;3-may-17;4513018;192
31602;4-may-17;4513018;192
31603;5-may-17;4513018;192
31604;6-may-17;4513019;192
31605;7-may-17;4513020;192
31606;8-may-17;4513018;192
31607;9-may-17;4513018;192
31608;10-may-17;4513018;192
31609;11-may-17;4513018;192
31610;12-may-17;4513018;192
32725;17-jul-17;4612018;197
32726;18-jul-17;4612018;197
32727;19-jul-17;4612018;197
32728;20-jul-17;4612095;197
32729;21-jul-17;4612018;197
32730;22-jul-17;4612027;197
32731;23-jul-17;4612026;197
32907;26-jul-17;4612024;198
32908;27-jul-17;4612024;198
32909;28-jul-17;4612024;198
32910;29-jul-17;4612027;198
32911;30-jul-17;4612026;198
32912;31-jul-17;4612024;198
32913;01-AUG-17;4612024;198
32914;02-AUG-17;4612024;198
32915;03-AUG-17;4612024;198
32916;04-AUG-17;4612024;198
32917;05-AUG-17;4612027;198
32918;06-AUG-17;4612026;198
32919;07-AUG-17;4612095;198
32920;08-AUG-17;4612024;198
32921;09-AUG-17;4612024;198
32922;10-AUG-17;4612024;198
32923;11-AUG-17;4612024;198
32924;12-AUG-17;4612027;198
32925;13-AUG-17;4612026;198
33305;17-sep-17;4652038;204
33306;18-sep-17;4652041;204
33307;19-sep-17;4652041;204
33327;22-sep-17;4652041;205
33328;23-sep-17;4652016;205
33405;5-oct-17;4652041;209
33325;20-sep-17;4652041;205
33326;21-sep-17;4652041;205
33406;6-oct-17;4652041;209
33407;7-oct-17;4652016;209
33425;8-oct-17;4714038;210
33426;9-oct-17;4714122;210
33427;10-oct-17;4714122;210
33428;11-oct-17;4714122;210
33607;9-nov-17;4692012;219
33605;7-nov-17;4692012;219
33565;2-nov-17;4714122;217
33566;3-nov-17;4714122;217
33606;8-nov-17;4692012;219
33608;10-nov-17;4692012;219
33609;11-nov-17;4692016;219
33610;12-nov-17;4692038;219
33611;13-nov-17;4692095;219
33612;14-nov-17;4692012;219
33613;15-nov-17;4692012;219
33614;16-nov-17;4692012;219
33615;17-nov-17;4692012;219
33616;18-nov-17;4692016;219
33617;19-nov-17;4692038;219
33618;20-nov-17;4692012;219
33619;21-nov-17;4692012;219
33620;22-nov-17;4692012;219
33621;23-nov-17;4692012;219
33622;24-nov-17;4692012;219
33623;25-nov-17;4692016;219
33667;28-nov-17;4732025;220
33668;29-nov-17;4732025;220
33669;30-nov-17;4732025;220
33670;01-DEC-17;4732025;220
33671;02-DEC-17;4732031;220
33672;03-DEC-17;4732020;220
33673;04-DEC-17;4732025;220
33674;05-DEC-17;4732025;220
33675;06-DEC-17;4732025;220
33676;07-DEC-17;4732126;220
33677;08-DEC-17;4732026;220
33678;09-DEC-17;4732019;220
33679;10-DEC-17;4732026;220
33707;13-DEC-17;4772018;221
33708;14-DEC-17;4772018;221
33709;15-DEC-17;4772018;221
33710;16-DEC-17;4772027;221
33711;17-DEC-17;4772026;221
33712;18-DEC-17;4772018;221
33713;19-DEC-17;4772018;221
33714;20-DEC-17;4772018;221
33715;21-DEC-17;4772018;221
33716;22-DEC-17;4772018;221
33717;23-DEC-17;4772027;221
34947;23-JAN-18;4812041;225
34945;21-JAN-18;4812082;225
34946;22-JAN-18;4812041;225
34948;24-JAN-18;4812041;225
34949;25-JAN-18;4812041;225
34950;26-JAN-18;4812041;225
34951;27-JAN-18;4812016;225
34952;28-JAN-18;4812082;225
35314;31-JAN-18;4832041;226
35315;1-feb-18;4832041;226
33705;11-DEC-17;4772018;221
